Fertilizer,Yield
7024878.38,0.796086957
631643.29,0.710434783
75755.32,0.238333333
1870661.52,5238.051739
165500.63,0.420909091
1293074.79,0.643636364
283511.43,0.465454545
8995468.4,9.919565217
961026.66,0.461363636
1828786.72,0.615652174
562930.55,4.568947368
943515.38,0.482352941
745371.44,2.342608696
10306625.49,0.520869565
7162399.03,7.561304348
26580219.64,0.554782609
57802260.86,0.780869565
16652275.58,1.060434783
165911859.6,0.941304348
1500355.05,0.487391304
998333.3,0.473
2980534.06,41.89695652
892694.6,3.440434783
234594.05,4.41826087
41208.61,0.38
958457.07,0.67
8060708.66,1.25952381
8860327,1.293571429
40143657.7,0.268235294
28660350.33,0.404545455
78039.4,0.81
364025.25,0.4375
2020459.1,0.058571429
1648058.89,0.121333333
17756723.43,1.078333333
434451.05,1.869444444
481655.37,1.585
344420.23,1.262307692
80672373.22,0.709411765
18312230.72,1.133333333
17023248.24,0.45
15529174.41,0.514705882
37086797.3,1.228
142866539.2,0.510714286
584058.29,2.470909091
47851190.49,2.687777778
4648483.48,1.98
926004.1,2.165714286
85455141.57,1.191333333
2579487.68,1.312222222
1286793.57,1.847777778
98170710.1,2.2335
5128616.13,2.073846154
25509747.48,2.829444444
29393920.69,91.74736842
413228.14,4.452941176
23858928.66,0.548333333
7246719.65,1.147857143
16545780.35,0.240714286
9143267.41,0.589285714
84163018.48,5376.054286
12645713.75,22.80357143
910681.73,1.245714286
82322.05,0.806666667
498595.63,11.20714286
2855.1,0.49
717962.48,0.796666667
168070.22,0.64
700165.69,6.054285714
42160.31,0.613333333
403806.31,8.436666667
4758.5,0.44
1634544.75,1.444285714
446156.96,4.68
81941.37,0.7525
181679.53,0.777142857
1976109.88,8.641428571
658005.38,0.608571429
10009028.9,1.378571429
126195.42,0.575714286
266856.68,0.861428571
85462.66,0.921428571
7803.94,2.352
496026.04,3.221428571
376778.03,6.537142857
70616.14,0.618
133333.17,5.425714286
407993.79,1.385
766879.86,1.691764706
345467.1,0.777692308
19700.19,0.426666667
582059.72,1.68
254484.58,0
62812.2,0.07
2310061.41,13003.78778
2474420,2
6094115.78,0.942777778
2425407.45,0.5975
2818459.55,1.13
537234.65,0.438888889
90221.16,0.482
61058597.58,13.44588235
2404089.37,1.095882353
1568972.62,0.251538462
3375584.73,2.658461538
4872894.34,0.662352941
922102.13,9.154166667
141803.3,0.548888889
311110.73,0.542857143
947798.03,0.046
4835406877,0.698888889
619747.04,0.40375
121722.43,0.585
27029707.55,18.23722222
1199808.19,0.986
31132295.91,0.718333333
40268425.57,1.837222222
114853915.9,2.843888889
406407115.8,1.985555556
1027836,0.2975
191767.55,4.598571429
12173480.21,0.649444444
480227.82,0.626666667
147989.35,1.196666667
2455100.49,67.83625
26457.26,0
1187816.77,1.661111111
6592521.07,1.825
1588767.98,0.628333333
34962983.58,1.886666667
6520.8,0.35
14721.2,2.17
1185.6,0.58
197.6,0.5
44756.4,0.84
790.4,2.75
103344.8,1.54
2568.8,16.5
11065.6,3.27
488566,2.46
1379346.8,2.555
564740.8,2.55
14523.6,0.806666667
395.2,0.75
267748,82.595
64121.2,20
7356351.6,0.784347826
756511.6,0.709130435
4138238,13.78826087
170726.4,0.411428571
1992400.8,6045.886957
163217.6,0.399130435
1454731.2,0.636956522
296597.6,0.460454545
7775757.6,9.040869565
1009933.6,0.480909091
1957228,0.608695652
519688,4.9105
864796.4,0.520555556
798600.4,2.340434783
11474730.8,0.50826087
7603450.4,7.230434783
28536305.2,0.473478261
58783925.2,1.055652174
22122604.4,1.685217391
161560724,1.395652174
1574872,0.485217391
1042043.6,0.521363636
3020414.8,39.89304348
931980.4,3.435652174
276442.4,4.445217391
144742,0.569545455
1060025.2,0.666956522
8851590.8,0.999545455
148200,1.21
187720,7.58
24700,0.28
5224050,0.28
2455970.4,4867.65
34580,1.18
103542.4,2.03
856694.8,1.06
118560,0.27
247000,0.99
4050800,2.54
1525373.2,3.04
130416,48.48
9687043.6,6.232
46969124.8,0.400833333
41082620.8,0.601764706
44558.8,1.19
83584.8,0.59
433435.6,2.238
1997538.4,0.06
2691904.8,0.831818182
30667421.2,4692.261111
1771978,0.118
62885706,1.556521739
16827517.2,1.123703704
353111.2,1.459411765
384924.8,12.75944444
35106208.8,0.573478261
100042607.6,0.8568
21483566,1.3052
18721216.8,0.504615385
13316165.2,0.4492
41575830.4,1.305714286
140312005.6,0.7235
879023.6,2.461333333
1956832.8,0.315
44506633.6,3.366
4932293.6,1.97952381
1183031.2,2.241904762
30797936,0.180769231
1543947.6,0.438823529
4135076.4,0.214782609
7896194.8,5.363636364
877541.6,8.936315789
473943.6,11.86631579
170924,9.265882353
48807.2,8.948181818
156400.4,7.827
2840994,12.37333333
412292.4,18.90714286
112335.6,17.6
26478.4,14.59
97433892.4,1.418
3342700.4,1.361
1054492.4,2.239230769
659292.4,0.210625
106624268.4,2.310740741
5116061.6,2.054285714
29228004,2.99375
9631715.6,0.616428571
11386700,0.417307692
6452529.2,1.060588235
42550788.8,0.382608696
